Key,Comment,Japanese,English,Traditional Chinese,Simplified Chinese,Japanese_Steam,Traditional Chinese_Steam,Simplified Chinese_Steam,English_Steam,Korean_Steam
Akiho Fallen Scene,注釈,闇堕ちシーン,闇堕ちシーン,闇堕ちシーン,暗堕ちシーン,闇堕ちシーン,闇堕ちシーン,暗堕ちシーン,,타락화 이벤트
Akiho.Fallen1-1,明穂,「くっ、がっちり拘束されて抜け出せない…っ」,"「Tch, I'm tightly restrained and can't get out...!」",「咕……被拘束得好緊住，掙脫不了……」,「咕……被拘束得好紧住，挣脱不了……」,「くっ、がっちり拘束されて抜け出せない…っ」,「咕……被拘束得好緊住，掙脫不了……」,「咕……被拘束得好紧住，挣脱不了……」,"""Ugh, I'm tightly bound and can't break free...!""","「윽, 단단히 구속돼서 빠져나갈 수 없어…윽」"
,Akiho darkness 1-1 ,,,,,,,,,
Akiho.Fallen1-2,,明穂は財団アジトの奥深くの人体実験室に胸を露出させられた状態で拘束されていた,Akiho was bound with her breasts exposed in a human experiment room deep inside the Foundation's hideout.,明穗被束縛在福倫財團基地深處的人體實驗室，胸部被暴露出來。,明穗被束缚在福伦财团基地深处的人体实验室，胸部被暴露出来。,明穂は財団アジトの奥深くの人体実験室に胸を露出させられた状態で拘束されていた,明穗被束縛在墮落財團基地深處的人體實驗室，胸部被暴露出來。,明穗被束缚在福伦财团基地深处的人体实验室，胸部被暴露出来。,Akiho was restrained in a human experimentation room deep within the Foundation hideout with her chest exposed.,아키호는 재단 아지트 깊숙한 곳의 인체 실험실에 가슴을 노출당한 상태로 구속되어 있었다
,,,,,,,,,,
Akiho.Fallen1-3,戦闘員,「ふふ、いかに聖核戦姫のお前でもこれだけ拘束されていれば逃げられないだろ？」,"「Hmmm, even you, the Holy Core Battlemaiden, can't escape when you're bound like this, can you?」",「嘿嘿，就算是聖核戰姬的你，被這麼緊緊束縛著也逃不掉吧？」,「嘿嘿，就算是圣核战姬的你，被这么紧紧束缚著也逃不掉吧？」,「ふふ、いかに聖核戦姫のお前でもこれだけ拘束されていれば逃げられないだろ？」,「嘿嘿，就算是聖核戰姬的妳，被這麼緊緊束縛著也逃不掉吧？」,「嘿嘿，就算是圣核战姬的你，被这么紧紧束缚著也逃不掉吧？」,"""Heh, even a Holy Core Battlemaiden like you can't escape with these restraints, right?""","「후후, 아무리 성핵전희인 너라도 이렇게 구속되어 있으면 도망칠 수 없겠지?」"
,,,,,,,,,,
Akiho.Fallen1-4,明穂,「…私がいなくなったことが分かれば、いつか六花か他の先輩が助けに来てくれる！」,"「...If they know I'm gone, someday Rikka or one of the other seniors will come to my rescue!」",「……一旦他們發現我不在，六花或其他前輩肯定會來救我的！」,「……一旦他们发现我不在，六花或其他前辈肯定会来救我的！」,「…私がいなくなったことが分かれば、いつか六花か他の先輩が助けに来てくれる！」,「……一旦他們發現我不在，六花或其他前輩肯定會來救我的！」,「……一旦他们发现我不在，六花或其他前辈肯定会来救我的！」,"""...Once they realize I'm missing, Rikka or one of the other higher-ranking ones will come save me!""","「…내가 없어진 걸 알면, 언젠가 릿카나 다른 선배가 구하러 와줄 거야!」"
,,,,,,,,,,
Akiho.Fallen1-5,戦闘員,「ああ、まあお前は水無瀬六花をおびき寄せるのに役に立ってもらう予定だからな」,"「Yeah, well, that's the plan. we are using you to help us lure Minase Rikka.」",「啊，是啊，你將被用來當作水無瀬六花的誘餌，這是計劃中的一部分。」,「啊，是啊，你将被用来当作水无瀬六花的诱饵，这是计划中的一部分。」,「ああ、まあお前は水無瀬六花をおびき寄せるのに役に立ってもらう予定だからな」,「啊，是啊，妳將被用來當作水無瀬六花的誘餌，這是計劃中的一部分。」,「啊，是啊，你将被用来当作水无瀬六花的诱饵，这是计划中的一部分。」,"""Ah, well you're supposed to be used for luring Rikka Minase here.""","「아아, 뭐 너는 미나세 릿카를 유인하는 데 도움이 될 예정이니까」"
,,,,,,,,,,
