Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English,Traditional Chinese,Simplified Chinese,English_Steam,Korean_Steam,Simplified Chinese_Steam
Daiya Fallen Scene,注釈,闇堕ちシーン,闇堕ちシーン,闇堕ちシーン,闇堕ちシーン,墮入黑暗場景,,,타락 이벤트,暗堕ちシーン
,Daiya story 1-1 ,,,,,,,,,
Daiya.Fallen1-1,,財団地下施設,財団地下施設,財團地下設施,,福倫財團地下設施,,Foundation Underground Facility,재단 지하 시설,财团地下设施
,,,,,,,,,,
Daiya.Fallen1-2,,那由多とエレナに敗北したダイヤは四肢を転送され、機械に接続されていた。,那由多とエレナに敗北したダイヤは四肢を転送され、機械に接続されていた。,敗給了那由多與艾蓮娜的黛雅，四肢被傳送並連接在機械上。,,那由多和艾蓮娜戰敗後，黛雅的四肢被轉移，連接到機械上。,,"Defeated by Nayuta and Erena, Daiya was picked up by her limbs, transferred away, and connected to machinery.","나유타와 엘레나에게 패배한 다이아는 사지를 전송당하고, 기계에 연결되어 있었다.",败给了那由多与艾莲娜的黛雅，四肢被传送并连接在机械上。
,,,,,,,,,,
Daiya.Fallen1-3,,バチバチバチッ！！,バチバチバチッ！！,啪嘰啪嘰啪嘰！！,,「啪啪啪啪！！」,,Zap zap zap!!,바치바치바칫!!,啪叽啪叽啪叽！！
,,　,,,,,,,,
Daiya.Fallen1-4,ダイヤ,「ぐうっ…ッ！はあっ…はあっ…ぐうっ…！？」,「ぐうっ…ッ！はあっ…はあっ…ぐうっ…！？」,「嗚…！哈…哈…嗚…！？」,,「咕嚕…！呼…呼…咕嚕…！？」,,"""Guuh...! Haah... haah... guuh...?!""",「크윽…윽! 하앗… 하앗… 크윽…!?」,「呜…！哈…哈…呜…！？」
,,,,,,,,,,
Daiya.Fallen1-5,,ダイヤは頭に電流を流され、全身に注射や光線を放たれながら改造される。,ダイヤは頭に電流を流され、全身に注射や光線を放たれながら改造される。,黛雅的頭部被施以電流，全身被注射藥物和照射光線進行改造。,,黛雅頭部傳送電流，全身遭注射和光線轟擊，進行改造。,,Electricity coursed through Daiya's head while her entire body was modified with injections and rays.,"다이아는 머리에 전류가 흐르고, 온몸에 주사나 광선을 맞으며 개조된다.",黛雅的头部被施以电流，全身被注射药物和照射光线进行改造。
,,,,,,,,,,
Daiya.Fallen1-6,ダイヤ,(っ…頭に電流が…ッ…思考がまとまらないッ……！！),(っ…頭に電流が…ッ…思考がまとまらないッ……！！),（唔…頭上有電流…思緒無法集中……！！）,,「咕嚕…頭部傳送電流…呼…思緒無法集中…！！」,,(Ngh... electricity in my head... I can't gather my thoughts...!!),(윽… 머리에 전류가…윽… 사고가 정리되지 않아!!),（唔…头上有电流…思绪无法集中……！！）
,,,,,,,,,,
Daiya.Fallen1-7,,(それに……下腹部が……焼けるようだっ……！),(それに……下腹部が……焼けるようだっ……！),（而且……下腹部……像在燃燒一樣……！）,,(而且……下腹部好像……在燃燒……！),,(And... my lower abdomen... feels like it's burning...!),(게다가…… 하복부가…… 타는 것 같아……!),（而且……下腹部……像在燃烧一样……！）
,,,,,,,,,,
