 ,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,Traditional Chinese,English,English_Steam,Korean_Steam,Simplified Chinese_Steam
Chapter 2-1,注釈,,,,,,,,
Dialog.Chapter2-1-1,マンション(夕方),明穂が学校に来なくなってから一週間,明穂が司令部に来なくなってから一週間,自從明穗沒來總部已經過去一個星期了。,自從明穗沒來學校，已經過去一個星期了。,It's been a week since Akiho stopped coming to school.,One week after Akiho stopped coming to the Command Center...,아키호가 사령부에 오지 않게 된 지 일주일,自从明穗没来总部已经过去一个星期了。
,,,,,,,,,
Dialog.Chapter2-1-2,六花,「……家にもいない…か。」,「……家にもいない…か。」,「……今天也不在家嗎……。」,「……今天也不在家嗎……。」,「...... not even in home.」,"""...Not home either, huh?""",「……집에도 없나…」,「……今天也不在家吗……。」
,,,,,,,,,
Dialog.Chapter2-1-3,,六花は一週間前から学校に来ていない明穂の身を案じ、放課後に彼女が一人で住んでいるアパートに訪れていた。,六花は一週間前からレギオンに来ていない明穂の身を案じ、彼女が一人で住んでいるアパートに訪れていた。,六花一直擔心著從一週前就沒來學校的明穗，於是來到了她獨自居住的公寓。,六花一直擔心著從一週前就沒來學校的明穗，於是來到了她獨自居住的公寓。,Rikka was concerned about Akiho's condition since she had not come to school for a week and visited her after school at her apartment where she lived alone.,"Rikka was worried about Akiho, who hasn't been coming to Legion for a week, so she went to the apartment where Akiho lived by herself.","릿카는 일주일 전부터 레기온에 오지 않는 아키호의 신변을 걱정하여, 그녀가 혼자 사는 아파트를 찾아왔다.",六花一直担心着从一周前就没来学校的明穗，于是来到了她独自居住的公寓。
,,,,,,,,,
Dialog.Chapter2-1-4,,(スマホでチャットはできるけど電話に出れないのはおかしいし…。一週間も学校を休んでる理由も教えてくれない),(スマホでチャットはできるけど電話に出れないのはおかしいし…。一週間も任務を休んでる理由も教えてくれない),（發訊息的話姑且還會回覆，但卻始終不肯接電話，這太奇怪了……而且她也不告訴我為什麼會缺課一整個星期。）,（發訊息的話姑且還會回覆，但卻始終不肯接電話，這太奇怪了……而且她也不告訴我為什麼會缺課一整個星期。）,(She didn't even respond to my message.... And didn't even tell me why they've been out of school for a week.),(It's strange that she can chat on her phone but can't receive calls... And she wouldn't tell me why she couldn't take any missions for a week.),(스마트폰으로 채팅은 되지만 전화를 받지 않는 건 이상하고…. 일주일이나 임무를 쉰 이유도 알려주지 않아),（发讯息的话姑且还会回复，但却始终不肯接电话，这太奇怪了……而且她也不告诉我为什么会缺课一整个星期。）
,,,,,,,,,
Dialog.Chapter2-1-5,,(……考えたくないけど―――やっぱり明穂に何かあったとしか…),(……考えたくないけど―――やっぱり明穂に何かあったとしか…),（……雖然不想往這方面想，但……果然，明穗一定是出事了……）,（……雖然不想往這方面想，但……果然，明穗一定是出事了……）,"(...... I don't want to think about it, but ――― I knew there was something wrong with Akiho...)","(I don't want to think about this, but something must have happened to her.)",(……생각하고 싶지 않지만――― 역시 아키호에게 무슨 일이 생긴 게 틀림없어…),（……虽然不想往这方面想，但……果然，明穗一定是出事了……）
,,,,,,,,,
Dialog.Chapter2-1-6,,「……うん。やっぱり副会長に相談するしかない。」,「……うん。やっぱり副司令に相談するしかない。」,「……嗯，果然還是只能去找副司令商量了。」,「……嗯，果然還是只能去找副會長商量了。」,「...... yeah. I should talk to the VP about this.」,"""...I'll have to talk to the Deputy Commander.""",「……응. 역시 부사령관님께 상담하는 수밖에 없어.」,「……嗯，果然还是只能去找副司令商量了。」
,,,,,,,,,
Dialog.Chapter2-1-7,,「うっ…でもあの人ちょっと怖いんだよね…。いや、そんなこと言ってる場合じゃないか…」,「うっ…でもあの人ちょっと怖いんだよね…。いや、そんなこと言ってる場合じゃないか…」,「呃……但是那個人有點可怕啊……不對，現在不是在意這種事的時候……」,「呃……但是那個人有點可怕啊……不對，現在不是在意這種事的時候……」,"「Ugh...but she scares me a little... No, this is not the time to say that...」","""But he's kind of scary... Wait, this is no time for that.""","「윽… 하지만 그분 좀 무섭단 말이지…. 아니, 그런 말 할 때가 아니지…」",「呃……但是那个人有点可怕啊……不对，现在不是在意这种事的时候……」
,,,,,,,,,
