Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English,English_Steam,Korean_Steam,Simplified Chinese_Steam
Chapter 3-1,注釈,,,,,,,
Dialog.Chapter3-1-1,アジト,フォーレン財団アジトにて,フォーレン財団アジトにて,於墮落財團基地──,At the Forren Foundation Hideout,At the Forren Foundation hideout...,폴른 재단 아지트에서,于「堕落财团」据点──
,エレナの写真みたいなやつ,,,,,,,
Dialog.Chapter3-1-2,戦闘員,「―――では先日戦闘した“清藤エレナ”について現在分かっていることをお伝えします」,「―――では先日戦闘した『清藤エレナ』について現在分かっていることをお伝えします」,「―――那麼，現在向各位報告目前已知的，有關日前交戰對象『清藤艾蓮娜』的情報」,"""Here is what we know about Seidō Erena, who was recently in combat with us.""","""This is what we currently know about Elena Kiyofuji, who we fought the other day.""",「―――그럼 얼마 전 전투했던 “세이토 엘레나”에 대해 현재 알고 있는 것을 알려드리겠습니다」,「―――那么，现在向各位报告目前已知的、有关日前交战对象「清藤艾莲娜」的情报」
,,,,,,,,
Dialog.Chapter3-1-3,SEL,よろしく頼む,よろしく頼む,「麻煩了。」,Keep up the good work,Go ahead.,잘 부탁한다,「麻烦了。」
,,,,,,,,
Dialog.Chapter3-1-4,,「聖月女学園生徒会副会長にして、経済界、政界にも大きな影響力を持つ巨大財閥“清藤グループ”の令嬢です」,「ホーリーコア・レギオン副司令にして、経済界、政界にも大きな影響力を持つ巨大財閥『清藤グループ』の令嬢です」,「她是聖核軍團的副司令，同時也是在政商兩界都握有巨大影響力的財閥——『清藤集團』的千金。」,"""She is the vice president of the Seigetsu Girl Academy Student Council and the daughter of the Seidō Group, a huge conglomerate with great influence in the economic and political worlds.""","""She is the deputy commander of the Holy Core Legion, and also the daughter of the Kiyofuji Group, which has massive influence over finances and politics.""","「홀리코어 레기온 부사령관이자, 경제계, 정계에도 큰 영향력을 가진 거대 재벌 “세이토 그룹”의 영애입니다」",「她是圣核军团的副司令，同时也是在政商两界都握有巨大影响力的财阀——「清藤集团」的千金。」
,,,,,,,,
Dialog.Chapter3-1-5,,「生徒会長は現在半年ほど海外へ行っており、今は実質的な生徒会トップで聖核戦姫のリーダー的存在です」,「総司令は現在半年ほど海外へ行っており、今は実質的な司令部トップで聖核戦姫のリーダー的存在です」,「總司令目前已出國大概半年，如今她是實質上的司令部首腦，也是聖核戰姬的領導者。」,"""Their president is currently overseas for six months and is now she is the de facto head of the student council and leader of the Seikaku Princess.""","""The commander has been overseas for half a year now, so she is the de facto leader of the group.""","「총사령관은 현재 반년 정도 해외에 가 있으며, 지금은 실질적인 사령부 톱이자 성핵전희의 리더적 존재입니다」",「总司令目前已出国大概半年，如今她是实质上的司令部首脑，也是圣核战姬的领导者。」
