Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English,English_Steam,Korean_Steam,Simplified Chinese_Steam
Chapter Final,注釈,,,,,,,
Dialog.Chapter6-1,黒背景,最強の聖核戦姫、八雲那由多が財団の手に堕ちてから一か月後―――――,最強の聖核戦姫、八雲那由多が財団の手に堕ちてから一か月後―――――,最強的聖核戰姫・八雲那由多墜入財團之手後過了一個月―――――,"One month after the strongest Seikaku Princess, Yakumo Nayuta, fell into the hands of the Foundation: ―――――","One month after Nayuta Yagumo, the strongest Holy Core Battlemaiden, fell into the Foundation's hands...","최강의 성핵전희, 야쿠모 나유타가 재단의 손에 떨어진 지 한 달 후―――――",最强的圣核战姫・八云那由多坠入财团之手后过了一个月―――――
,,,,,,,,
Dialog.Chapter6-2,,エレナと那由多を失った聖月生徒会は統制が崩壊し、各地で聖核戦姫の掃討作戦が行われていた,エレナと那由多を失ったホーリーコア・レギオンは統制が崩壊し、各地で聖核戦姫の掃討作戦が行われていた,失去了艾蓮娜和那由多的聖核軍團，指揮體系徹底崩壞，各地都在進行對聖核戰姫的掃蕩作戰。,"With the loss of Erena and Nayuta, the control of the Seigetsu Student Council collapsed, and cleanup operations for the Seikaku Princesses were being conducted in various locations.","With Elena and Nayuta lost, the Holy Core Legion's command structure collapsed, and sweeping operations against Holy Core Battlemaidens were being conducted everywhere.","엘레나와 나유타를 잃은 홀리코어 레기온은 통제가 붕괴하고, 각지에서 성핵전희 소탕 작전이 벌어지고 있었다",失去了艾莲娜和那由多的圣核军团，指挥体系彻底崩坏，各地都在进行对圣核战姫的扫荡作战。
,暗転　燃えるビル　,,,,,,,
Dialog.Chapter6-3,,――――都市中心部,――――都市中心部,――――都市中心區,―――― city center,—City Center,――――도시 중심부,――――都市中心区
,,,,,,,,
Dialog.Chapter6-4,,ドゴォォォンッ！,ドゴォォォンッ！,轟隆！！,Doggone!,BOOOOM!,두콰아아앙!,轰隆！！
,,,,,,,,
Dialog.Chapter6-5,モブ聖核戦姫２,「ぐうっ！―――――っ！」,「ぐうっ！―――――っ！」,「呃啊！！――――！」,"""Goooooood."" ―――――!""","""Ughhh!""",「크윽!―――――윽!」,「呃啊！！――――！」
,(劇中では全て“聖核戦姫”表示),,,,,,,
Dialog.Chapter6-6,クローン戦闘員×3,「――――こちら部隊5。4体の聖核戦姫と交戦中。戦闘は順調に進んでいます」,「――――こちら部隊5。4体の聖核戦姫と交戦中。戦闘は順調に進んでいます」,「這裡是第五部隊。目前正在與四名聖核戰姫交戰，戰鬥進行得非常順利。」,"""―――― this is Unit 5. We are engaged with 4 Seikaku Princesses. The battle is progressing well.""","""This is Squad 5. Currently engaging four Holy Core Battlemaidens. Battle is proceeding smoothly.""",「――――이쪽 부대5. 4체의 성핵전희와 교전 중. 전투는 순조롭게 진행되고 있습니다」,「这里是第五部队。目前正在与四名圣核战姫交战，战斗进行得非常顺利。」
,,,,,,,,
Dialog.Chapter6-7,モブ聖核戦姫２,(この戦闘員っ、強すぎるっ！？これまでとは比べ物にならないっ！),(この戦闘員っ、強すぎるっ！？これまでとは比べ物にならないっ！),（這些戰鬥員……太強了！？完全不是以前那些人可以比的！）,"(This fighter, he's too strong! It is incomparable to the past!)",(These soldiers are too strong! They're incomparable to before!),"(이 전투원, 너무 강해!? 지금까지와는 비교도 안 돼!)",（这些战斗员……太强了！？完全不是以前那些人可以比的！）
,,,,,,,,
Dialog.Chapter6-8,,(――――っ、考えたくないけど…一体一体が私達より…強い！？),(――――っ、考えたくないけど…一体一体が並みの聖核戦姫より…強い！？),（――雖然不想承認……但他們每一個，感覺都比普通的聖核戰姫還強！？）,"(――――, I hate to think about it... but one of them is... stronger than us!)",(I don't want to think about it... but each one is stronger than an average Holy Core Battlemaiden!?),"(――――윽, 생각하고 싶지 않지만… 하나하나가 보통 성핵전희보다… 강해!?)",（――虽然不想承认……但他们每一个，感觉都比普通的圣核战姫还强！？）
,,,,,,,,
Dialog.Chapter6-9,,「聖核戦姫を舐めないでっ！私達は絶対に屈し――がはッ！？」,「聖核戦姫を舐めないでっ！私達は絶対に屈し――がはッ！？」,「別小看聖核戰姫！我們絕對不會屈――呃啊！？」,"""Don't lick the Seikaku Princess! We will never give in――gasp!""","""Don't underestimate the Holy Core Battlemaidens! We will never yield—gahh!?""",「성핵전희를 얕보지 마! 우리는 절대 굴복하지――커헉!?」,「别小看圣核战姫！我们绝对不会屈――呃啊！？」
,,,,,,,,
Dialog.Chapter6-10,072号,「―――背後ががら空きでしたので」,「―――背後ががら空きでしたので」,「――妳的背後完全破綻百出啊。」,"""The back of the room was empty.""","""Your back was wide open.""",「―――배후가 완전히 비어 있었습니다」,「――妳的背后完全破绽百出啊。」
,,,,,,,,
Dialog.Chapter6-11,モブ聖核戦姫２,「そ…んなっ…………」,「そ…んなっ…………」,「怎……怎麼會…………」,"""That's... that's... ............""","""N-No way...""",「그…런…………」,「怎……怎么会…………」
,,,,,,,,
Dialog.Chapter6-12,072号,「……対象の変身の解除を確認。無力化に成功しました」,「……対象の変身の解除を確認。無力化に成功しました」,「……確認目標已解除變身，無力化成功。」,"""Confirmation of disabling of ...... target's transformation. Successfully neutralized.""","""Target's transformation has been removed. Neutralization successful.""",「……대상의 변신 해제를 확인. 무력화에 성공했습니다」,「……确认目标已解除变身，无力化成功。」
,,,,,,,,
Dialog.Chapter6-13,明穂(闇堕ち),「さすが六花の強化クローン！普通の聖核戦姫なんか敵じゃないね！」,「さすが六花の強化クローン！普通の聖核戦姫なんか敵じゃないね！」,「不愧是六花的強化型克隆體！普通的聖核戰姫根本不是對手啊！」,"""Rikka's enhanced clone is indeed a match for Rikka! The ordinary Seikaku Princess is no match for you!""","""As expected, Ordinary Holy Core Battlemaidens are no match to Rikka's enhanced clones!""",「역시 릿카의 강화 클론! 보통 성핵전희 따위 상대도 안 되네!」,「不愧是六花的强化型克隆体！普通的圣核战姫根本不是对手啊！」
,,,,,,,,
Dialog.Chapter6-14,,「この調子でどんどん捕まえてこー！」,「この調子でどんどん捕まえてこー！」,「照這個節奏繼續把她們通通抓回去吧！」,"""Keep up the good work and we'll get 'em!""","""Let's keep capturing them at this rate!""",「이 기세로 계속 잡아오자~!」,「照这个节奏继续把她们通通抓回去吧！」
,,,,,,,,
Dialog.Chapter6-15,072号,「……あなたにももう少し働いてもらえると助かるのですが…」,「……あなたにももう少し働いてもらえると助かるのですが…」,「……如果妳也肯再多出一點力就更好了。」,"""...... would appreciate it if you would work a little more...""","""It would be helpful if you could work a bit more...""",「……당신도 조금은 일해주시면 도움이 되겠습니다만…」,「……如果妳也肯再多出一点力就更好了。」
,,,,,,,,
Dialog.Chapter6-16,明穂,「私は貴重な後方支援担当だから！…それに私よりも階級の低いクローンちゃんが私に指図するの？」,「私は貴重な後方支援担当だから！…それに私よりも階級の低いクローンちゃんが私に指図するの？」,「我是珍貴的後方支援擔當耶！而且就憑妳一個階級比我低的克隆醬，竟然想指揮我嗎？」,"""I'm a valuable logistics officer! ...And you, a clone with a lower rank than me, are telling me what to do?""","""I'm valuable logistics personnel! And are you, a juniored clone, giving me orders?""",「나는 귀중한 후방 지원 담당이니까! …그리고 나보다 계급 낮은 클론쨩 주제에 나한테 명령하는 거야?」,「我是珍贵的后方支援担当耶！而且就凭妳一个阶级比我低的克隆酱，竟然想指挥我吗？」
,,,,,,,,
Dialog.Chapter6-17,072号,「……申し訳ありません」,「……申し訳ありません」,「……非常抱歉。」,"""Sorry about .......""","""...My apologies.""",「……죄송합니다」,「……非常抱歉。」
,,,,,,,,
Dialog.Chapter6-18,明穂,「それじゃあ残り倒しちゃおう！クローンちゃん達頑張って！」,「それじゃあ残り倒しちゃおう！クローンちゃん達頑張って！」,「那就把剩下的也解決掉吧！各位克隆醬，加油囉！」,"""Then let's take down the rest of them! Good luck, clones!""","""Alright then, let's take down the rest! Do your best, clones!""",「그럼 나머지 처리하자! 클론쨩들 힘내!」,「那就把剩下的也解决掉吧！各位克隆酱，加油啰！」
,,,,,,,,
Dialog.Chapter6-19,クローン戦闘員×3,「―――――はっ！」,「―――――はっ！」,「是！！」,"""――――― ha!""","""Roger!""",「―――――핫!」,「是！！」
,暗転,,,,,,,
,,,,,,,,
