Key,Comment,Japanese,English,Traditional Chinese,Simplified Chinese,Japanese_Steam,English_Steam,Traditional Chinese_Steam,Simplified Chinese_Steam,Korean_Steam
Tutorial,注釈,,,,,,,,,
,できるだけ短く！必要な情報だけ！,,,,,,,,,
Dialog.Tutorial-1-1,背景：ワールド画面,―――ここは巨大都市ネオトーカイシティ。,―――This is the Neotokai City.,―――這裡是巨型都市NEOTOKAI。,―――这里是巨型都市NEOTOKAI。,―――ここは巨大都市ネオトーカイシティ。,"—Neo Tokai City, a megalopolis.",―――這裡是巨型都市NEOTOKAI。,―――这里是巨型都市NEOTOKAI。,―――이곳은 거대 도시 네오토카이 시티.
Dialog.Tutorial-1-2,,きらびやかなビルがそびえ立つ一方、陰で人々の陰謀や欲望の渦巻く都市である,"It is a city of glittering buildings, and also a city of intrigue and greed in the shadows.",光鮮亮麗的建築的背後，暗藏著許多陰謀和人們的慾望。,光鲜亮丽的建筑的背后，暗藏著许多阴谋和人们的欲望。,きらびやかなビルがそびえ立つ一方、陰で人々の陰謀や欲望の渦巻く都市である,A city where skycrapers reached for the heavens while conspiracies and desires brewed in the shadows.,光鮮亮麗的建築的背後，暗藏著許多陰謀和人們的慾望。,光鲜亮丽的建筑的背后，暗藏著许多阴谋和人们的欲望。,"화려한 빌딩이 솟아 있는 한편, 그늘에서는 사람들의 음모와 욕망이 소용돌이치는 도시다"
Dialog.Tutorial-1-3,背景：廃墟,そんなビルの輝きを尻目に、暗い地下の廃墟を進む人影があった,"In the midst of the brightness of the building, there was a figure advancing through the dark underground ruins.",在建築群的陰影，有一個人影在黑暗的地下廢墟中穿行,在建筑群的阴影，有一个人影在黑暗的地下废墟中穿行,そんなビルの輝きを尻目に、暗い地下の廃墟を進む人影があった,A silhouette walked across dark underground ruins below the shiny buildings.,在建築群的陰影，有一個人影在黑暗的地下廢墟中穿行。,在建筑群的阴影，有一个人影在黑暗的地下废墟中穿行,"그런 빌딩의 빛을 등지고, 어두운 지하 폐허를 나아가는 그림자가 있었다"
,,,,,,,,,,
Dialog.Tutorial-1-4,【???】,「―――ようこそいらっしゃいました。」,「―――Welcome.」,「―――歡飲光臨。」,「―――欢饮光临。」,「―――ようこそいらっしゃいました。」,"""—Welcome.""",「―――歡迎光臨。」,「―――欢饮光临。」,「―――어서 오십시오.」
,,,,,,,,,,
Dialog.Tutorial-1-5,,目の前に突然目をバイザーのようなもので覆った女が音もなく現れる,A woman suddenly appears in front of you with her eyes covered by a visor― she barely make any sound.,一個女人突然無聲無息的出現在你眼前，他的眼睛被一個類似面罩的東西遮住了,一个女人突然无声无息的出现在你眼前，他的眼睛被一个类似面罩的东西遮住了,目の前に突然目をバイザーのようなもので覆った女が音もなく現れる,A woman with something covering her eyes suddenly appeared without a sound.,一個女人突然無聲無息的出現在你眼前，她的眼睛被一個類似面罩的東西遮住了。,一个女人突然无声无息的出现在你眼前，他的眼睛被一个类似面罩的东西遮住了,눈앞에 갑자기 바이저 같은 것으로 눈을 가린 여자가 소리 없이 나타난다
,,,,,,,,,,
