Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English,English_Steam,Korean_Steam,Simplified Chinese_Steam
Kei Fallen Scene 1,注釈,闇堕ちシーン,闇堕ちシーン,,闇堕ちシーン,,타락화 이벤트,
Kei.Fallen1-1,黒背景,――――財団地下研究施設,――――財団地下研究施設,――――財團地下研究設施,―――― Foundation Underground Research Facility,At the Foundation's underground research facility,――――재단 지하 연구 시설,――――财团地下研究设施
,,,,,,,,
Kei.Fallen1-2,kei darkness 1-1,「―――おーい、私はいつまでこうしていればいいんだ？」,「―――おーい、私はいつまでこうしていればいいんだ？」,「―――喂，我還要這樣待到什麼時候？」,"""――― ""――――oh, how long do I have to keep doing this?""","""Hey, how long are you going to keep me here?""","「―――어이, 나는 언제까지 이렇게 있어야 하는 거야?」",「―――喂，我还要这样待到什么时候？」
,京,,,,,,,
Kei.Fallen1-3,,猫宮京は聖核エネルギーを無力化され、地下深くの施設に拘束されていた,猫宮京は聖核エネルギーを無力化され、地下深くの施設に拘束されていた,貓宮京的聖核能量被無效化，被拘束在地下深處的設施裡。,Nekomiya Kei was incapacitated from his Seikaku energy and held in a facility deep underground.,Kei Nekomiya's Holy Core was neutralized and she was confined in a facility deep underground.,"네코미야 케이는 성핵 에너지를 무력화당하고, 지하 깊숙한 시설에 구속되어 있었다",猫宫京的圣核能量被无效化，被拘束在地下深处的设施里。
,,,,,,,,
Kei.Fallen1-4,,「何時間も放置されていて流石に暇なんだが…」,「何時間も放置されていて流石に暇なんだが…」,「被晾了好幾個小時，實在是很無聊……」,"""'I'm bored with quicksand after hours of being left alone...'""","""There hasn't been anything to do for hours and I'm bored...""",「몇 시간이나 방치되어 있어서 정말 심심한데…」,「被晾了好几个小时，实在是很无聊……」
,,,,,,,,
Kei.Fallen1-5,,「他の捕らえられた聖核戦姫みたいに私も調教洗脳されるのだろう？」,「他の捕らえられた聖核戦姫みたいに私も調教されるのだろう？」,「我會像其他被捕獲的聖核戰姫一樣被教育吧？」,"""I will be trained and brainwashed like all the other captured Seikaku warriors, won't I?'""","""Aren't you going to re-educate me like you did with the other captured Holy Core Battlemaidens?""",「다른 붙잡힌 성핵전희처럼 나도 조교 교육당하는 거겠지?」,「我会像其他被捕获的圣核战姫一样被教育吧？」
,,,,,,,,
Kei.Fallen1-6,,「どうせなら早くやってくれ。暇すぎる方が苦痛だ」,「どうせなら早くやってくれ。暇すぎる方が苦痛だ」,「要動手的話就快點吧。太閒了反而更痛苦。」,"""I'd rather do it fast anyway. Too much free time is more painful.""","""Just do it quickly! I can't stand being bored.""",「어차피라면 빨리 해줘. 너무 심심한 게 더 고통이야」,「要动手的话就快点吧。太闲了反而更痛苦。」
,,,,,,,,
Kei.Fallen1-7,戦闘員,「あー、うるせえっ！お前これから何されるか理解してねえのか！？」,「あー、うるせえっ！お前これから何されるか理解してねえのか！？」,「啊ーー吵死了！妳難道不明白妳接下來會經歷什麼嗎！？」,"""Oh, shut up! Don't you realize what you're about to do to me?""","""Shut up! Don't you understand what's going to happen to you?""","「아-, 시끄러워! 너 이제부터 뭘 당할지 이해 못 하는 거야!?」",「啊ー，吵死了！你难道不明白你接下来会经历什么吗！？」
,,,,,,,,
Kei.Fallen1-8,京,「もちろん理解しているよ。私は凌辱の限りを尽くされ、調教洗脳されるのだろう？」,「もちろん理解しているよ。私は凌辱の限りを尽くされ、調教されるのだろう？」,「我當然明白。我會被極盡凌辱，然後被教育吧？」,"""Of course I understand. I will be humiliated, trained and brainwashed, won't I?""","""I do, you're going to humiliate me as much as possible and then re-educate me, right?""","「물론 이해하고 있어. 나는 능욕의 극한을 당하고, 조교 교육당하는 거겠지?」",「我当然明白。我会被极尽凌辱，然后被教育吧？」
,,,,,,,,
Kei.Fallen1-9,戦闘員,「良く分かってるじゃねえか。だが、それだと半分だな」,「良く分かってるじゃねえか。だが、それだと半分だな」,「知道就好。不過，那只說對了一半。」,"""You know exactly what you're doing. But that's only half of it.""","""So you do know. That's only half of it.""","「잘 알고 있잖아. 하지만, 그걸로는 절반이군」",「知道就好。不过，那只说对了一半。」
,,,,,,,,
Kei.Fallen1-10,京,「…半分？何か見逃してることがあったかな？」,「…半分？何か見逃してることがあったかな？」,「……一半？我漏掉了什麼嗎？」,"""'...half? Am I missing something?""","""Half? Did I miss something?""",「…절반? 뭔가 놓친 게 있었나?」,「……一半？我漏掉了什么吗？」
,,,,,,,,
Kei.Fallen1-11,戦闘員,「……お前が俺達のアジトにサイバー攻撃をしたせいで、俺達がどんな目にあったか分かってるか？」,「……お前が俺達のアジトにサイバー攻撃をしたせいで、俺達がどんな目にあったか分かってるか？」,「……因為妳對我們的基地的伺服器進行攻擊，害我們遭受了多大的損失，妳知道嗎？」,"""Do you have any idea what we've been through because of your cyber―attack on our hideout at ......?""","""...You launched a cyberattack on us. Do you have any idea what happened?""","「……네가 우리 아지트에 사이버 공격을 한 탓에, 우리가 어떤 꼴을 당했는지 알고 있나?」",「……你对我们的基地进行网路攻击，害我们遭受了多大的损失，你知道吗？」
,,,,,,,,
Kei.Fallen1-12,京,「………ああ、なるほど」,「………ああ、なるほど」,「………啊，原來如此。」,"""......... Oh, I see.""","""Oh, that.""","「………아아, 과연」",「………啊，原来如此。」
,,,,,,,,
Kei.Fallen1-13,戦闘員,「お前のせいで俺達がどれだけの被害を受けたと思っている！？」,「お前のせいで俺達がどれだけの被害を受けたと思っている！？」,「妳以為我們因為妳而遭受了多少損害！？」,"""Do you have any idea how much damage you've done to us!""","""How much damage did you think we sustained?""",「네 탓에 우리가 얼마나 큰 피해를 입었다고 생각하는 거야!?」,「你以为我们因为你而遭受了多少损害！？」
,,,,,,,,
Kei.Fallen1-14,,「アジトの戦闘員がお前をどう思っているのか考えてみろ！」,「アジトの戦闘員がお前をどう思っているのか考えてみろ！」,「想想看基地裡的戰鬥員們對妳抱持著什麼樣的恨意！」,"""Think of what the fighters in the compound think of you!""","""Think about what the soldiers think of you!""",「아지트 전투원들이 너를 어떻게 생각하는지 생각해 봐!」,「想想看基地里的战斗员们对你抱持着什么样的恨意！」
,,,,,,,,
Kei.Fallen1-15,京,「……それについては弁明のしようもないね…おとなしく受け入れるよ」,「……それについては弁明のしようもないね…おとなしく受け入れるよ」,「……對於這點我無話可說……我會乖乖接受的。」,"""...... I can't really defend myself on that one...I'll just meekly accept it.""","""...I have no excuse for that... I'll just take it.""",「……그 점에 대해서는 변명의 여지가 없네… 얌전히 받아들일게」,「……对于这点我无话可说……我会乖乖接受的。」
,Kei darkness 1-2,,,,,,,
Kei.Fallen1-16,,そして部屋に屈強な体の戦闘員達が入ってくる,そして部屋に屈強な体の戦闘員達が入ってくる,接著，體格強壯的戰鬥員們走進房間。,And into the room come the strong―bodied combatants.,Then muscular soldiers entered the room.,그리고 방에 튼튼한 몸의 전투원들이 들어온다,接着，体格强壮的战斗员们走进房间。
,,,,,,,,
Kei.Fallen1-17,京,「―――――っ！？」,「―――――っ！？」,「―――――！？」,"""―――――?""","""?!""",「―――――윽!?」,「―――――可恶！？」
,,,,,,,,
Kei.Fallen1-18,戦闘員,「お前は今から俺達戦闘員100人を全員相手にしてもらう」,「お前は今から俺達戦闘員100人を全員相手にしてもらう」,「妳現在開始要應付我們所有一百名戰鬥員。」,"""You are now going to have to deal with all 100 of us combatants.""","""You're going to take on all 100 of us soldiers now.""",「너는 지금부터 우리 전투원 100명 전원을 상대해야 한다」,「你现在开始要应付我们所有一百名战斗员。」
,,,,,,,,
Kei.Fallen1-19,,「一応上からは殺さない程度にと言われているがな、ここにいるのはお前に恨みを持った血気盛んな戦闘員達だ」,「一応上からは殺さない程度にと言われているがな、ここにいるのはお前に恨みを持った血気盛んな戦闘員達だ」,「雖然上頭說了不要玩死妳，但這裡都是對妳懷恨在心、血氣方剛的戰鬥員。」,"""I've been told from the top not to kill you, but these are just hot―blooded fighters who have a grudge against you.""","""We've been told from above not to kill you, but the soldiers here are hot-blooded guys who hold grudges against you.""","「일단 위에서는 죽이지 않을 정도로 하라고는 했지만, 여기 있는 건 너에게 원한을 품은 혈기 왕성한 전투원들이다」",「虽然上头说了不要玩死你，但这里都是对你怀恨在心、血气方刚的战斗员。」
