Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English,English_Steam,Korean_Steam,Simplified Chinese_Steam
Rikka Fallen Scene,注釈,闇堕ちシーン,闇堕ちシーン,,闇堕ちシーン,闇堕ちシーン,타락화 이벤트,
,ホーム画面,,,,,,,
,1ｰ1,,,,,,,
Rikka.Fallen1-1,【六花】,「ぐうっ、こんな拘束なんてっ！」,「ぐうっ、こんな拘束なんてっ！」,「嗚，這種束縛算什麼！」,"""Ugh, I can't believe these restraints!""","""Ugh, what's with the restraints?!""","「크윽, 이런 구속 따위!」",「呜，这种束缚算什么！」
,,,,,,,,
Rikka.Fallen1-2,,狭い部屋の壁を六花の苦し気な声が反響する,狭い部屋の壁を六花の苦し気な声が反響する,六花痛苦的聲音在狹小的房間牆壁上迴響。,Rikka's pained voice echoes off the walls of the small room.,Rikka's voice reverberated in the small room.,좁은 방 벽에 릿카의 괴로운 목소리가 울려 퍼진다,六花痛苦的声音在狭小的房间墙壁上回响。
,,,,,,,,
Rikka.Fallen1-3,六花エロシーン,財団の策謀によって捕らえられた六花は、四肢を固定された状態でアジトの調教室に拘束されていた,財団の策謀によって捕らえられた六花は、四肢を固定された状態でアジトの調教室に拘束されていた,被財團的陰謀捕獲的六花，四肢被固定，拘束在基地的調教室裡。,Rikka was captured by the Foundation's scheme and held in the training room of the hideout with her limbs immobilized.,"Captured by the Foundation's operation, Rikka was locked up with restraints in the training room of the hideout.","재단의 책략에 의해 붙잡힌 릿카는, 사지를 고정된 상태로 아지트의 조교실에 구속되어 있었다",被财团的阴谋捕获的六花，四肢被固定，拘束在巢穴的调教室里。
,,,,,,,,
Rikka.Fallen1-4,023号,「無駄ですよ、水無瀬六花。その拘束具はあなたの最高出力の数倍耐久性があります。いくらあなたといえども脱出は不可能でしょう」,「無駄ですよ、水無瀬六花。その拘束具はあなたの最高出力の数倍耐久性があります。いくらあなたといえども脱出は不可能でしょう」,「這是徒勞的，水無瀨六花。這個拘束具擁有妳最高輸出數倍的耐久性。即使是妳，想要逃脫也是不可能的。」,"""It's no use, Minase Rikka. That restraint is several times more durable than your maximum output. It will be impossible for you to escape, no matter how much you try.""","""Resistance is futile, Rikka Minase. The restraints can withstand several times more than your maximum power, so there's no way for you to get out of them.""","「소용없습니다, 미나세 릿카. 그 구속구는 당신의 최고 출력의 몇 배 내구성이 있습니다. 아무리 당신이라도 탈출은 불가능할 것입니다」",「这是徒劳的，水无濑六花。这个拘束具拥有你最高输出数倍的耐久性。即使是你，想要逃脱也是不可能的。」
,,,,,,,,
Rikka.Fallen1-5,023号,「申し遅れました。私はオリジナル―――あなたの研究開発を担当する“クローン023号”と申します」,「申し遅れました。私はオリジナル―――あなたの研究開発を担当する“クローン023号”と申します」,「我自我介紹一下。我負責原型 ———也就是妳的研究開發『克隆023號』。」,"""I'm sorry I'm late. My name is Clone 023 and I am in charge of your research and development.""","""Anyway, allow me to introduce myself. I am Clone 023, in charge of all the research and the development related to you.""",「말씀드리는 것이 늦었습니다. 저는 오리지널―――당신의 연구 개발을 담당하는 “클론 023호”라고 합니다」,「我自我介绍一下。我是原型 ———负责你的研究开发的『克隆023号』。」
,,,,,,,,
Rikka.Fallen1-6,六花,「っ、またクローン…！ほんとに悪趣味なっ―――！」,「っ、またクローン…！ほんとに悪趣味なっ―――！」,「！又是克隆…！真是惡趣味啊————！」,"""Another clone..! You really have a bad taste...!""","""Another clone... This is creepy...""","「윽, 또 클론…! 정말 악취미군――――!」",「！又是克隆…！真是恶趣味啊————！」
,,,,,,,,
Rikka.Fallen1-7,【六花】,(――――落ち着いて私。まだ終わったわけじゃない。ここで焦ってエネルギーを消耗しても何も変わらない),(――――落ち着いて私。まだ終わったわけじゃない。ここで焦ってエネルギーを消耗しても何も変わらない),（————我必須冷靜。還沒結束。在這裡焦躁地消耗能量，什麼也不會改變。）,"(―――― calm down, me. It's not over yet. Nothing will change if we rush here and drain our energy.)","(Calm down. This is not over yet, and wasting your energy here will not change anything.)",(――――진정해 나. 아직 끝난 게 아니야. 여기서 초조해서 에너지를 소모해도 아무것도 변하지 않아),（————冷静下来，我。还没结束。在这里焦躁地消耗能量，什么也不会改变。）
,,,,,,,,
Rikka.Fallen1-8,,「…そう、勝手にしたら？こうなったのは私の落ち度。敵に情けを乞うつもりはない」,「…そう、勝手にしたら？こうなったのは私の落ち度。敵に情けを乞うつもりはない」,「…是嗎，隨你們便。變成這樣是我的失誤。我不打算向敵人乞求憐憫。」,"""I said, ""Well, why don't you do what you want? It is my fault that this happened. I have no intention of begging for mercy from my enemies.""","""...Do what you want. My inadequacies led to my downfall, and I'm not going to beg for mercy.""","「…그래, 마음대로 해. 이렇게 된 건 내 불찰이다. 적에게 자비를 구할 생각은 없어」",「…是吗，随你们便。变成这样是我的失误。我不打算向敌人乞求怜悯。」
,,,,,,,,
Rikka.Fallen1-9,023号,「物分かりが良くて助かります。流石クローンの素体に選ばれるだけはありますね」,「物分かりが良くて助かります。流石クローンの素体に選ばれるだけはありますね」,「妳這麼明事理，真是幫大忙了。不愧是被選為克隆的素體。」,"""I'm glad you are so understanding. I am sure you were chosen to be the clone's base body.""","""It helps that you understand the situation. It's no wonder they chose you as the original for the clones.""",「이해가 빨라서 다행입니다. 역시 클론의 소체로 선택될 만하군요」,「你这么明事理，真是帮大忙了。不愧是被选为克隆的素体。」
,,,,,,,,
Rikka.Fallen1-10,六花,(私がアジトの中心部にいるのは敵にとってもリスクなはず…。アジトの位置が分かったし、ここには私より強い存在はいない！),(私がアジトの中心部にいるのは敵にとってもリスクなはず…。アジトの位置が分かったし、ここには私より強い存在はいない！),（我位處於基地中心對敵人來說也應該是個風險……基地的位置已經知道了，而且這裡沒有比我更強的存在！）,(It must be a risk for the enemy to have me in the center of the hideout.... I know the location of the hideout and there is no one stronger than me here!),"(It's a risk for them to have me in the middle of their hideout... I know where the hideout is, and there shouldn't be anything that's more powerful than me!)","(내가 아지트 중심부에 있는 것은 적에게도 리스크일 터…. 아지트 위치를 알았고, 여기에는 나보다 강한 존재는 없어!)",（我位处于巢穴中心对敌人来说也应该是个风险……巢穴的位置已经知道了，而且这里没有比我更强的存在！）
,,,,,,,,
Rikka.Fallen1-11,,(諦めなければまだチャンスはある。チャンスが来るまでエネルギーを温存して耐える！),(諦めなければまだチャンスはある。チャンスが来るまでエネルギーを温存して耐える！),（只要不放棄，就還有機會。在機會來臨前，我必須儲存能量，忍耐下去！）,"(If you don't give up, you still have a chance. Save your energy and endure until the chance comes!)",(There will be an opportunity as long as I don't give up. I'll just have to save my energy until then.),(포기하지 않으면 아직 기회는 있어. 기회가 올 때까지 에너지를 아끼고 견디자!),（只要不放弃，就还有机会。在机会来临前，我必须储存能量，忍耐下去！）
,,,,,,,,
Rikka.Fallen1-12,023号,「さて、覚悟も決まっているようですので早速あなたの体を調べさせてもらいます」,「さて、覚悟も決まっているようですので早速あなたの体を調べさせてもらいます」,「那麼，既然妳已經做好覺悟，我們就立刻開始檢查妳的身體。」,"""Now that you seem to be prepared, I will examine your body immediately.""","""Looks like you've accepted the situation. Please allow me to inspect your body.""","「자, 각오도 다진 것 같으니 즉시 당신의 몸을 조사하겠습니다」",「那么，既然你已经做好觉悟，我们就立刻开始检查你的身体。」
,,,,,,,,
Rikka.Fallen1-13,1－2,壁からイボの付いたピンクのノコギリのような物が現れ回転を始める,壁からイボの付いたピンクのノコギリのような物が現れ回転を始める,牆壁上出現了一個帶有疣狀突起的粉紅色鋸子狀物體，開始旋轉。,A pink saw―like object with a wart appears from the wall and begins to spin.,"From the wall, a pink, saw-like object with warts appeared and started spinning.",벽에서 돌기가 달린 분홍색 톱 같은 물건이 나타나 회전을 시작한다,墙壁上出现了一个带有疣状突起的粉红色锯子状物体，开始旋转。
,【六花1－2】,,,,,,,
Rikka.Fallen1-14,,キュィィィィイイイインンッ！,キュィィィィイイイインンッ！,咻咿咿咿咿嗯嗯嗯！,Cuiiiiiiiiiiinnn!,Clannnngggggggg!,큐이이이이이이이인!,咻咿咿咿咿嗯嗯嗯！
,,,,,,,,
Rikka.Fallen1-15,【六花】,「っ…！なんでこんなものっ、？」,「っ…！なんでこんなものっ、？」,「！……為什麼會有這種東西！」,"""I'm like, ""What the...? Why are you doing this?""","""...What's this?""",「윽…! 왜 이런 걸…?」,「！……为什么会有这种东西！」
,,,,,,,,
Rikka.Fallen1-16,023号,「あなた方聖核戦姫のエネルギー源の聖核は感情と密接な関りがあることが分かっています。性感を上昇させて聖核エネルギーを測定するというわけです」,「あなた方聖核戦姫のエネルギー源の聖核は感情と密接な関りがあることが分かっています。性感を上昇させて聖核エネルギーを測定するというわけです」,「我們知道你們聖核戰姬的能量來源——聖核，與情感有著密切關聯。我們的目的是提升性快感，來測量聖核能量。」,"""We know that the Seikaku, the energy source of you Seikaku Princesses, is closely related to emotions. So, you measure the Seikaku energy by elevating your sexual feelings.""","""We know that to you Holy Core Battlemaidens, the Holy Core is the source of your energy and it's closely linked to your emotions. We want to turn you on and measure the Holy Core energy.""",「당신들 성핵전희의 에너지원인 성핵은 감정과 밀접한 관련이 있다는 것이 밝혀졌습니다. 성감을 상승시켜 성핵 에너지를 측정한다는 것입니다」,「我们知道你们圣核战姬的能量来源——圣核，与情感有着密切关联。我们的目的是提升性快感，来测量圣核能量。」
,,,,,,,,
Rikka.Fallen1-17,【六花】,(―――――っ明穂の様子から覚悟はしていたけど…っ、やっぱりこういう感じにっ),(―――――っ明穂の様子から覚悟はしていたけど…っ、やっぱりこういう感じにっ),（—————！雖然看到明穗的樣子已經有心理準備了……！果然是這種方式！）,(―――――. I was prepared for this from the way Akiho was acting...but...it turned out to be like this...),(...I figured as much from seeing Akiho. I guess this is it...),"(―――――윽 아키호 상태를 보고 각오는 했지만…윽, 역시 이런 식이군)",（—————！虽然看到明穗的样子已经有心理准备了……！果然是这种方式！）
,,,,,,,,
Rikka.Fallen1-18,,(――――焦らないで。この程度、戦闘に比べたら大したことない。平常心でいれば何の問題もない),(――――焦らないで。この程度、戦闘に比べたら大したことない。平常心でいれば何の問題もない),（————不要焦躁。這種程度，跟戰鬥比起來根本不算什麼。保持平常心就沒問題。）,"(―――― Don't be in a hurry. This is nothing compared to the battle. As long as you keep a normal mind, there will be no problems.)",(Don't worry. It's nothing compared to actual combat. Just try to remain calm.),"(――――초조해하지 마. 이 정도, 전투에 비하면 아무것도 아니야. 평정심을 유지하면 아무 문제 없어)",（————不要焦躁。这种程度，跟战斗比起来根本不算什么。保持平常心就没问题。）
,,,,,,,,
Rikka.Fallen1-19,【六花】,「そう、でもこんなおもちゃで聖核戦姫の私をどうこうできるとは思えないけど？」,「そう、でもこんなおもちゃで聖核戦姫の私をどうこうできるとは思えないけど？」,「是嗎，但我不覺得這種玩具能對身為聖核戰姬的我造成什麼影響。」,"""Yes, but I don't see how a toy like this can do anything to me, the Seikaku Princess?""","""Do you really think you can do something to me with a toy like that?""","「그래, 하지만 이런 장난감으로 성핵전희인 나를 어떻게 할 수 있다고는 생각되지 않는데?」",「是吗，但我不觉得这种玩具能对身为圣核战姬的我造成什么影响。」
,,,,,,,,
Rikka.Fallen1-20,023号,「そうですか。では遠慮なくいかせてもらいます」,「そうですか。では遠慮なくいかせてもらいます」,「是嗎。那麼我就不客氣地開始了。」,"""I see. Then I will go without hesitation.""","""Oh yeah? We shall see.""",「그렇습니까. 그럼 사양하지 않고 시작하겠습니다」,「是吗。那么我就不客气地开始了。」
,1－3,,,,,,,
Rikka.Fallen1-21,【六花1－3】,キュィィィィイイイインンッ　チリチリチリチリチリッッッ!‼,キュィィィィイイイインンッ　チリチリチリチリチリッッッ!‼,咻咿咿咿咿嗯嗯嗯！滋哩滋哩滋哩滋哩滋！,Cuiiiiiiiiiiiiinnnggg! Chili chili chili chili chili! ministry,Clannnngggggg! Rrrrrrrrr!,큐이이이이이이이인 찌리찌리찌리찌리찌리잇!!,咻咿咿咿咿嗯嗯嗯！滋哩滋哩滋哩滋哩滋！
,,,,,,,,
Rikka.Fallen1-22,【六花】,「ひあっ！♥、おっ♥、いぎっっっっ♥　」,「ひあっ！♥、おっ♥、いぎっっっっ♥　」,「呀！♥，嗚！♥，嗚嘰！！！！♥」,"""Hi! Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh.""","""Ahhhh♥ Ohhhhh♥ Eeeeek♥""","「히앗!♥, 옷♥, 이깃♥♥♥♥♥　」",「呀！♥，呜！♥，呜叽！！！！♥」
,,,,,,,,
Rikka.Fallen1-23,,高速回転した柔らかいノコギリの刃が割れ目を念入りに研磨する,高速回転した柔らかいノコギリの刃が割れ目を念入りに研磨する,高速旋轉的柔軟鋸刃仔細地研磨著私處。,Soft saw blades rotated at high speed carefully grind the cracks.,"The soft saw, spinning at a high speed, started to grind against her vagina gently.",고속 회전하는 부드러운 톱날이 갈라진 틈을 꼼꼼하게 연마한다,高速旋转的柔软锯刃仔细地研磨着私处。
,,,,,,,,
Rikka.Fallen1-24,【六花】,「ひぉっ♥、あぐぅっ、くぅううううっ♥」,「ひぉっ♥、あぐぅっ、くぅううううっ♥」,「嗚呼！♥，啊咕！咕嗚嗚嗚嗚嗚！♥」,"""Hi―ohh♥, aghhhh, kooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo!""","""Ohhhhh♥ Aggghhhh♥ Kuuhhhh♥""","「히옷♥, 아굿, 크으으으으으윽♥」",「呜呼！♥，啊咕！咕呜呜呜呜呜！♥」
,,,,,,,,
Rikka.Fallen1-25,005号,「機械の具合はどうでしょうか？その様子だと気に入ってもらえたようですが。」,「機械の具合はどうでしょうか？その様子だと気に入ってもらえたようですが。」,「儀器的感覺如何？看妳這個樣子，似乎很滿意呢。」,"""How is the machine? By the looks of it, you seem to like it.""","""How is the machine? Looks like you're enjoying it.""",「기계 상태는 어떻습니까? 그 모습으로는 마음에 드신 것 같습니다만.」,「仪器的感觉如何？看你这个样子，似乎很满意呢。」
,,,,,,,,
Rikka.Fallen1-26,【六花】,「ひあっ♥♥、そんなわけっ、♥、くぅぅっ♥」,「ひあっ♥♥、そんなわけっ、♥、くぅぅっ♥」,「呀！♥♥，怎麼可能！♥，咕嗚嗚！♥」,"""Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.""","""Hnnnn♥ No...♥ Kuhhhhhh♥""","「히앗♥♥, 그럴 리가 ♥, 크으읏♥」",「呀！♥♥，怎么可能！♥，咕呜呜！♥」
,,,,,,,,
Rikka.Fallen1-27,,快楽を逃がそうと腰を動かすが、ノコギリは六花の腰の動きをとらえ、正確に研磨を続ける。,快楽を逃がそうと腰を動かすが、ノコギリは六花の腰の動きをとらえ、正確に研磨を続ける。,六花試圖扭動腰部來逃避快感，但鋸子捕捉到她腰部的動作，精準地持續研磨。,"She moves her hips to escape the pleasure, but the saw catches the movement of Rikka's hips and continues grinding with precision.","Rikka tried to move her hips away from the pleasure, but the saw followed her and kept grinding.","쾌락을 피하려 허리를 움직이지만, 톱은 릿카의 허리 움직임을 포착하고, 정확하게 연마를 계속한다.",六花试图扭动腰部来逃避快感，但锯子捕捉到她腰部的动作，精准地持续研磨。
,,,,,,,,
Rikka.Fallen1-28,【六花】,「―――っ、！こいつっ♥、ひあっ♥、んおっ♥、お゛おっ♥」,「―――っ、！こいつっ♥、ひあっ♥、んおっ♥、お゛おっ♥」,「———！這傢伙！♥，呀！♥，嗯喔！♥，嗚喔！♥」,"""...oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh! Koitsu ♥, hi ♥, nnnn oh ♥, ooooh ♥""","""...ugh! This♥ Ahhhhh♥ Nnnnn♥ Ohhhhhhh♥""","「―――윽,! 이 자식♥, 히앗♥, 응옷♥, 오옷♥」",「———！这家伙！♥，呀！♥，嗯喔！♥，呜喔！♥」
,,,,,,,,
Rikka.Fallen1-29,023号,「やれやれ、口ではあれだけ強がっておいて快楽への耐性はやはり大したことないですね」,「やれやれ、口ではあれだけ強がっておいて快楽への耐性はやはり大したことないですね」,「真是的，嘴上說得那麼強硬，但對快感的抵抗力果然沒那麼高。」,"""I'm sorry to say, but your tolerance for pleasure is still very low for someone who is so strong with your mouth.""","""You're all talk! Can't even resist the pleasure.""","「이런이런, 말로는 저렇게 강한 척하면서 쾌락 내성은 역시 대단하지 않군요」",「真是的，嘴上说得那么强硬，但对快感的抵抗力果然没那么高。」
,,,,,,,,
Rikka.Fallen1-30,【六花】,「ぐうっ♥、なんでっこんなのでっ♥！」,「ぐうっ♥、なんでっこんなのでっ♥！」,「嗚！♥，為什麼這種東西！♥」,"""Ugh, why, with such a thing!""","""Ughh♥ Why...♥""","「크윽♥, 왜 이런 걸로♥!」",「呜！♥，为什么这种东西！♥」
,,,,,,,,
Rikka.Fallen1-31,023号,「当然です。我々は何度もあなたのクローンを研究してきましたから。あなたの体はあなたよりも良く知っています」,「当然です。我々は何度もあなたのクローンを研究してきましたから。あなたの体はあなたよりも良く知っています」,「這是當然的。我們研究過妳無數次的克隆人，我們比妳更了解妳的身體。」,"""Of course. We have studied your clones many times. We know your body better than you do.""","""We've researched your clones thoroughly, so we know better about your body than you do.""",「당연합니다. 저희는 몇 번이나 당신의 클론을 연구해왔으니까요. 당신의 몸은 당신보다 더 잘 알고 있습니다」,「这是当然的。我们研究过你无数次的克隆。我们比你更了解你的身体。」
,,,,,,,,
Rikka.Fallen1-32,【六花】,「―――そんなっ！、はっ、はあっ♥、ーーーぅっ♥、――――――。」,「―――そんなっ！、はっ、はあっ♥、ーーーぅっ♥、――――――。」,「———怎麼會！哈、哈啊♥，———嗚！♥，————————。」,"""――――ONNAH! ""","""...No! Haaaa♥ Ahhhh♥""","「―――그런!, 핫, 하앗♥, ーーー읏♥, ――――――.」",「———怎么会！哈、哈啊♥，———呜！♥，————————。」
,,,,,,,,
