Key,Japanese,English,Traditional Chinese,Simplified Chinese,Japanese_Steam,English_Steam,Traditional Chinese_Steam,Simplified Chinese_Steam,Korean_Steam
TitleScene,タイトル画面,TitleScene,タイトル画面,タイトル画面,タイトル画面,TitleScene,タイトル畫面,タイトル画面,타이틀 화면
System.NewGame,New Game,New Game,New Game,New Game,New Game,New Game,New Game,New Game,New Game
System.Load,Load,Load,Load,Load,Load,Load,Load,Load,Load
System.Gallery,Gallery,Gallery,Gallery,Gallery,Gallery,Gallery,Gallery,Gallery,Gallery
System.Option,Option,Option,Option,Option,Option,Option,Option,Option,Option
System.Credit,Credit,Credit,Credit,Credit,Credit,Credit,Credit,Credit,Credit
System.Exit,Exit,Exit,Exit,Exit,Exit,Exit,Exit,Exit,Exit
HomeScene,ホーム画面,HomeScene,ホーム画面,ホーム画面,ホーム画面,HomeScene,ホーム畫面,ホーム画面,홈 화면
System.Memory,回想,Memory,回想,回想,回想,Memory,回想,回想,회상
System.SwitchCharacter,画面キャラ変更,Change Character,更換角色,更换角色,画面キャラ変更,Change Character,更換角色,更换角色,캐릭터 변경
System.BlackMarket,闇市,Black Market,黑市,黑市,闇市,Black Market,黑市,黑市,암시장
System.Record,侵食記録,Record,侵蝕記録,侵蚀记录,侵食記録,Record,侵蝕記録,侵蚀记录,침식 기록
System.Action,活動,Operation,活動,活动,活動,Operation,活動,活动,활동
System.Training,調教,Training,調教,调教,調教,Training,調教,调教,조교
System.CharacterBuilding,キャラクター育成,Character Building,角色育成,角色育成,キャラクター育成,Character Building,角色育成,角色育成,캐릭터 육성
System.Formation,キャラクター編成,Formation,角色編成,角色编成,キャラクター編成,Formation,角色編成,角色编成,캐릭터 편성
System.ResearchPoint,研究ポイント,Research Pts,研究點數,研究点数,研究ポイント,Research Pts,研究點數,研究点数,연구 포인트
System.Money,資金,Money,資金,资金,資金,Money,資金,资金,자금
System.Mood,心情：,Mood:,心情：,心情：,心情：,Mood:,心情：,心情：,심정:
System.Dark,闇落ち,Corrupt,惡墮,恶堕,闇落ち,Corrupt,惡墮,恶堕,타락
System.CoreResearch,聖核研究進度,Core Research,聖核研究進度,圣核研究进度,聖核研究進度,Core Research,聖核研究進度,圣核研究进度,성핵 연구 진척도
