recommendation,reason,lqa_sheet,main_sheet,column,key,lqa_key,lqa_row,main_row,Japanese_Steam,main_value,lqa_value
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Erena,Erena,English_Steam,Erena.Fallen2-2,Erena.Fallen2-2,160,160,エレナが捕まってから数日後,Several days after Elena was caught,Several days after Erena was caught
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny1-18,Hisui.Horny1-18,38,786,「そっ、そんなぁ……エレナ先輩が負けるなんてっ……！」,"""N-no way... Elena is losing...!""","""N-no way... Erena is losing...!"""
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny1-20,Hisui.Horny1-20,42,790,「ううぅ…エレナ先輩っ……」,"""Uuuh... Elena...""","""Uuuh... Erena..."""
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny1-22,Hisui.Horny1-22,46,794,「え、エレナ先輩……！！」,"""E-Elena...!!""","""E-Erena...!!"""
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny1-27,Hisui.Horny1-27,56,804,そして戦闘員はラバースーツを脱いでチンポをエレナとヒスイの尻に押し当てる,Then the soldier removed his rubber suit and pressed his cock against Elena and Hisui's asses.,Then the soldier removed his rubber suit and pressed his cock against Erena and Hisui's asses.
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny1-34,Hisui.Horny1-34,70,818,「ううっ♥……エレナ先輩っ……どうすればっ♥…！」,"""Uuh♥... Elena... what should we do♥...!""","""Uuh♥... Erena... what should we do♥...!"""
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny1-36,Hisui.Horny1-36,74,822,「え、エレナ先輩っ…！」,"""E-Elena...!""","""E-Erena...!"""
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny1-44,Hisui.Horny1-44,90,838,「そんなぁっ♥♥エレナ先輩うらやま…じゃなくて♥頑張ってくださいっ♥！」,"""Oh no♥♥ Elena, I'm so jeal... I mean♥ please do your best♥!""","""Oh no♥♥ Erena, I'm so jeal... I mean♥ please do your best♥!"""
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny1-54,Hisui.Horny1-54,110,858,「え、エレナ先輩っ！負けないでくださいっ♥！」,"""E-Elena! Please don't lose♥!""","""E-Erena! Please don't lose♥!"""
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny1-57,Hisui.Horny1-57,116,864,「ああっ♥、そんなぁ♥、エレナ先輩っ…負けないで…♥」,"""Aah♥, oh no♥, Elena... don't lose...♥""","""Aah♥, oh no♥, Erena... don't lose...♥"""
