source,sheet,row,key,value
main_xlsx,System,26,System.HolyCoreTraining,Seikaku Research
main_xlsx,System,81,System.EquipmentHoly,Seikaku Equipment
main_xlsx,System,124,Memory.AkihoCore_1,Akiho - Seikaku Research I
main_xlsx,System,125,Memory.AkihoCore_2,Akiho - Seikaku Research II
main_xlsx,System,131,Memory.RikkaCore_1,Rikka - Seikaku Research I
main_xlsx,System,132,Memory.RikkaCore_2,Rikka - Seikaku Research II
main_xlsx,System,138,Memory.ErenaCore_1,Elena - Seikaku Research I
main_xlsx,System,139,Memory.ErenaCore_2,Elena - Seikaku Research II
main_xlsx,System,145,Memory.KeiCore_1,Kei - Seikaku Research I
main_xlsx,System,146,Memory.KeiCore_2,Kei - Seikaku Research II
main_xlsx,System,149,Memory.NayutaBrainWash_1,Nayuta - Seikaku Drain I
main_xlsx,System,150,Memory.NayutaBrainWash_2,Nayuta - Seikaku Drain II
main_xlsx,System,151,Memory.NayutaBrainWash_3,Nayuta - Seikaku Drain III
main_xlsx,System,152,Memory.NayutaCore_1,Nayuta - Seikaku Research I
main_xlsx,System,153,Memory.NayutaCore_2,Nayuta - Seikaku Research II
main_xlsx,System,162,Memory.SeikakuEquip,Seikaku Factory
main_xlsx,System,186,Memory.ErenaDLC,Elena Seidou
main_xlsx,System,204,Name.Erena,Elena Seidou
main_xlsx,System,260,Name.Erena_Corrupted,Elena Seidou
main_xlsx,System,270,Name.Security,Seidou Group Guard
main_xlsx,System,524,World.Chapter5-3,"""Yakumo Nayuta is a formidable opponent. I hope we can make use of Elena Seidou here..."""
main_xlsx,System,585,BattleLog.DaiyaRevive,Diamond’s Seikaku Equipment activated! {0} can still keep fighting!
main_xlsx,System,602,CreditRoll.VoiceActors,"<size=35>Characters' Voice</size>
<font=""JP/ipaexg SDF"">西瓜すいか</font> <size=35>(Sasaya Akiho)</size>

<font=""JP/ipaexg SDF"">砂糖しお</font> <size=35>(Minase Rikka)</size>

<font=""JP/ipaexg SDF"">梅原亜衣</font> <size=35>(Elena Seidou)</size>

<font=""JP/ipaexg SDF"">海音ミヅチ</font> <size=35>(Nekomiya Kei)</size>

<font=""JP/ipaexg SDF"">藤村莉央</font> <size=35>(Yakumo Nayuta)</size>

<font=""JP/ipaexg SDF"">来夢ふらん</font> <size=35>(Saionji Hisui)</size>

<font=""JP/ipaexg SDF"">手塚りょうこ</font> <size=35>(Diamond)</size>"
